GeneSym	OMIMID	GeneID
CPA6	OMIM:609562	57094
CPN1	OMIM:603103	1369
CPOX	OMIM:612732	1371
CPROTQ	OMIM:611920	100188860
CPS1	OMIM:608307	1373
CPT1A	OMIM:600528	1374
CPT2	OMIM:600650	1376
CPVT3	OMIM:614021	100653371
CR1	OMIM:120620	1378
CR2	OMIM:120650	1380
CRADD	OMIM:603454	8738
CRAT	OMIM:600184	1384
CRB1	OMIM:604210	23418
CRBN	OMIM:609262	51185
CRCL	OMIM:607135	261727
CRCS11	OMIM:612592	100271692
CRCS2	OMIM:611469	100188841
CRCS5	OMIM:612230	100188887
CRCS6	OMIM:612231	100187710
CRCS7	OMIM:612232	100187711
CRCS8	OMIM:612589	100271690
CRCS9	OMIM:612590	100329169
CREB1	OMIM:123810	1385
CREBBP	OMIM:600140	1387
CRELD1	OMIM:607170	78987
CRIPT	OMIM:604594	9419
CRLF1	OMIM:604237	9244
CRSA	OMIM:600593	7885
CRTAP	OMIM:605497	10491
CRX	OMIM:602225	1406
CRYAA	OMIM:123580	1409
CRYAB	OMIM:123590	1410
CRYBA1	OMIM:123610	1411
CRYBA2	OMIM:600836	1412
CRYBA4	OMIM:123631	1413
CRYBB1	OMIM:600929	1414
CRYBB2	OMIM:123620	1415
CRYBB3	OMIM:123630	1417
CRYGB	OMIM:123670	1419
CRYGC	OMIM:123680	1420
CRYGD	OMIM:123690	1421
CRYGS	OMIM:123730	1427
CRYM	OMIM:123740	1428
CSF1R	OMIM:164770	1436
CSF2RA	OMIM:306250	1438
CSF2RB	OMIM:138981	1439
CSF3R	OMIM:138971	1441
CSH1	OMIM:150200	1442
CSNK1D	OMIM:600864	1453
CSPP1	OMIM:611654	79848
CSRP3	OMIM:600824	8048
CST3	OMIM:604312	1471
CSTA	OMIM:184600	1475
CSTB	OMIM:601145	1476
CTC1	OMIM:613129	80169
CTCF	OMIM:604167	10664
CTDP1	OMIM:604927	9150
CTEPH1	OMIM:612862	100302516
CTH	OMIM:607657	1491
CTLA4	OMIM:123890	1493
CTNNA3	OMIM:607667	29119
BRV2	OMIM:613106	100313948
CTNS	OMIM:606272	1497
CTPS1	OMIM:123860	1503
CTRC	OMIM:601405	11330
CTRCT25	OMIM:605728	80770
CTRCT27	OMIM:607304	266979
CTRCT28	OMIM:609026	493862
CTRCT29	OMIM:115800	101867602
CTRCT34	OMIM:612968	100302720
CTRCT35	OMIM:609376	619404
CTRCT37	OMIM:614422	100861439
CTSA	OMIM:613111	5476
CTSC	OMIM:602365	1075
CTSD	OMIM:116840	1509
CTSF	OMIM:603539	8722
CTSK	OMIM:601105	1513
CUBN	OMIM:602997	8029
CUL3	OMIM:603136	8452
CUL4B	OMIM:300304	8450
CUL7	OMIM:609577	9820
CUP2Q35	OMIM:185900	57306
CVMRF	OMIM:300471	494028
CWF19L1	OMIM:616120	55280
CX3CR1	OMIM:601470	1524
CXCL12	OMIM:600835	6387
CYB5A	OMIM:613218	1528
CYB5R3	OMIM:613213	1727
CYBA	OMIM:608508	1535
CYBB	OMIM:300481	1536
CYC1	OMIM:123980	1537
CYCS	OMIM:123970	54205
CYLD	OMIM:605018	1540
CYP11A1	OMIM:118485	1583
CYP11B1	OMIM:610613	1584
CYP11B2	OMIM:124080	1585
CYP17A1	OMIM:609300	1586
CYP19A1	OMIM:107910	1588
CYP21A2	OMIM:613815	1589
CYP24A1	OMIM:126065	1591
CYP26B1	OMIM:605207	56603
CYP26C1	OMIM:608428	340665
CYP27A1	OMIM:606530	1593
CYP27B1	OMIM:609506	1594
CYP2A6	OMIM:122720	1548
CYP2B6	OMIM:123930	1555
CYP2C19	OMIM:124020	1557
CYP2C8	OMIM:601129	1558
CYP2C9	OMIM:601130	1559
CYP2D6	OMIM:124030	1565
CYP2R1	OMIM:608713	120227
CYP2U1	OMIM:610670	113612
CYP3A5	OMIM:605325	1577
CYP4F22	OMIM:611495	126410
CYP4V2	OMIM:608614	285440
CYP7B1	OMIM:603711	9420
D2HGDH	OMIM:609186	728294
DAG1	OMIM:128239	1605
DARS	OMIM:603084	1615
DARS2	OMIM:610956	55157
DAZ1	OMIM:400003	1617
DAZL	OMIM:601486	1618
DBA2	OMIM:606129	114086
DBH	OMIM:609312	1621
DBT	OMIM:248610	1629
DCAF17	OMIM:612515	80067
DCAF8	OMIM:615820	50717
BRCATA	OMIM:600048	8068
DCHS1	OMIM:603057	8642
DCN	OMIM:125255	1634
DCR	OMIM:190685	1637
DCX	OMIM:300121	1641
DCXR	OMIM:608347	51181
DDB2	OMIM:600811	1643
DDC	OMIM:107930	1644
DDD3	OMIM:615674	102997065
DDH2	OMIM:615612	102775567
DDHD1	OMIM:614603	80821
DDHD2	OMIM:615003	23259
DDIT3	OMIM:126337	1649
DDOST	OMIM:602202	1650
DDR2	OMIM:191311	4921
DDX11	OMIM:601150	1663
DDX59	OMIM:615464	83479
DEAF1	OMIM:602635	10522
DEK	OMIM:125264	7913
DEL10Q26	OMIM:609625	780911
DEL11P13	OMIM:194072	100528024
DEL11P15P14	OMIM:606528	100240736
DEL13Q14	OMIM:613884	100653382
DEL14Q11Q22	OMIM:613457	100505392
DEL15Q11.2	OMIM:615656	102997063
DEL15Q13.3	OMIM:612001	100188869
DEL15Q15.3	OMIM:611102	100240731
DEL15Q24	OMIM:613406	100502567
DEL15Q25	OMIM:614294	100820632
DEL15Q26QTER	OMIM:612626	100271921
DEL16P11.2	OMIM:611913	100187724
DEL16P12.1P11.2	OMIM:613604	100526742
DEL16P13.3	OMIM:610543	100188814
DEL17P13.1	OMIM:613776	100653374
DEL17Q11.2	OMIM:613675	100852404
DEL17Q12	OMIM:614527	100884130
DEL17Q23.1Q23.2	OMIM:613355	100415941
DEL18P	OMIM:146390	100240747
DEL18Q	OMIM:601808	100216483
DEL19P13.13	OMIM:613638	100526791
DEL19Q13.11	OMIM:613026	100306978
DEL1P32P31	OMIM:613735	100532738
DEL1P36	OMIM:607872	100240737
DEL1Q21	OMIM:612474	100217370
DEL1Q41Q42	OMIM:612530	100529242
DEL1Q43Q44	OMIM:612337	100190984
DEL22Q11.2	OMIM:611867	100188856
DEL2P12P11.2	OMIM:613564	100529243
DEL2P16.1-P15	OMIM:612513	100240740
DEL2P21	OMIM:606407	100415942
DEL2Q31	OMIM:612345	100192308
DEL3PTERP25	OMIM:613792	100653385
DEL3Q13.31	OMIM:615433	102216266
DEL3Q29	OMIM:609425	100188788
DEL4Q21	OMIM:613509	100528026
DEL5Q12	OMIM:615668	102997064
DEL6PTER	OMIM:612582	100270803
DEL6Q11Q14	OMIM:613544	100529221
DEL6Q24Q25	OMIM:612863	100505391
DEL7Q11.23	OMIM:613729	100653380
DEL8Q12Q21	OMIM:600257	100885787
DEL8Q13	OMIM:600383	100526741
DEL8Q21.11	OMIM:614230	100689491
DEL9P	OMIM:158170	100240748
DELXP11.3	OMIM:300578	100271686
DELXP21	OMIM:300679	100505389
DELXP22.11	OMIM:300830	100529118
DELXQ21	OMIM:303110	100887743
DELYQ11	OMIM:400042	619469
DEPDC5	OMIM:614191	9681
DER22T11-22	OMIM:609029	100529146
DER22T8-22	OMIM:613700	100529149
DES	OMIM:125660	1674
DFCTRPS	OMIM:300719	100188774
DFNA16	OMIM:603964	1694
DFNA18	OMIM:606012	85507
DFNA21	OMIM:607017	192644
DFNA24	OMIM:606282	23723
DFNA27	OMIM:612431	23722
DFNA30	OMIM:606451	23719
DFNA31	OMIM:608645	347737
DFNA33	OMIM:614211	29779
DFNA43	OMIM:608394	192676
DFNA47	OMIM:608652	246289
DFNA49	OMIM:608372	317664
DFNA5	OMIM:608798	1687
DFNA52	OMIM:607683	170507
DFNA53	OMIM:609965	353347
DFNA54	OMIM:615649	448962
DFNA58	OMIM:615654	100359395
DFNA59	OMIM:612642	100271924
DFNA7	OMIM:601412	1689
DFNB13	OMIM:603098	1705
DFNB14	OMIM:603678	1706
DFNB17	OMIM:603010	1709
DFNB20	OMIM:604060	1713
DFNB26	OMIM:605428	23714
DFNB27	OMIM:605818	23713
DFNB31	OMIM:607928	25861
DFNB32	OMIM:608653	113877
DFNB33	OMIM:607239	170508
DFNB38	OMIM:608219	337991
DFNB40	OMIM:608264	379003
DFNB44	OMIM:610154	449484
DFNB45	OMIM:612433	449483
DFNB46	OMIM:609647	449488
DFNB47	OMIM:609946	449489
DFNB5	OMIM:600792	1697
DFNB51	OMIM:609941	448963
DFNB55	OMIM:609952	494148
DFNB59	OMIM:610219	494513
DFNB62	OMIM:610143	692220
DFNB65	OMIM:610248	692219
DFNB66	OMIM:610212	606719
DFNB68	OMIM:610419	751609
DFNB71	OMIM:612789	100302513
DFNB83	OMIM:613685	100359400
DFNB85	OMIM:613392	100359399
DFNB96	OMIM:614414	100861440
DFNM1	OMIM:605429	54362
DFNX3	OMIM:300030	1680
DFNY1	OMIM:400043	724074
DGAT1	OMIM:604900	8694
DGCR2	OMIM:601362	9993
DGKE	OMIM:601440	8526
DGUOK	OMIM:601465	1716
DHCR24	OMIM:606418	1718
DHCR7	OMIM:602858	1717
DHDDS	OMIM:608172	79947
DHFR	OMIM:126060	1719
DHH	OMIM:605423	50846
DHODH	OMIM:126064	1723
DHTKD1	OMIM:614984	55526
DIABLO	OMIM:605219	56616
DIAPH1	OMIM:602121	1729
DIAPH2	OMIM:300108	1730
DIAPH3	OMIM:614567	81624
DICER1	OMIM:606241	23405
DIH1	OMIM:142340	1732
DIH2	OMIM:222400	780899
DIP2B	OMIM:611379	57609
DIS3L2	OMIM:614184	129563
BSND	OMIM:606412	7809
DISC2	OMIM:606271	27184
DKBI	OMIM:127600	80870
DKC1	OMIM:300126	1736
DLAT	OMIM:608770	1737
DLD	OMIM:238331	1738
DLG3	OMIM:300189	1741
DLL3	OMIM:602768	10683
DLX3	OMIM:600525	1747
DLX5	OMIM:600028	1749
DMD	OMIM:300377	1756
DMGDH	OMIM:605849	29958
DMP1	OMIM:600980	1758
DMPK	OMIM:605377	1760
DMXL2	OMIM:612186	23312
DNA2	OMIM:601810	1763
DNAAF1	OMIM:613190	123872
DNAAF2	OMIM:612517	55172
DNAAF3	OMIM:614566	352909
DNAH11	OMIM:603339	8701
DNAH5	OMIM:603335	1767
DNAI1	OMIM:604366	27019
DNAI2	OMIM:605483	64446
DNAJB2	OMIM:604139	3300
DNAJB6	OMIM:611332	10049
DNAJC19	OMIM:608977	131118
DNAJC5	OMIM:611203	80331
DNAJC6	OMIM:608375	9829
DNAL1	OMIM:610062	83544
DNAL4	OMIM:610565	10126
DNASE1L3	OMIM:602244	1776
DNM1L	OMIM:603850	10059
DNM2	OMIM:602378	1785
DNMT1	OMIM:126375	1786
DNMT3A	OMIM:602769	1788
DNMT3B	OMIM:602900	1789
DOCK6	OMIM:614194	57572
DOCK7	OMIM:615730	85440
DOCK8	OMIM:611432	81704
DOLK	OMIM:610746	22845
DPAGT1	OMIM:191350	1798
DPM1	OMIM:603503	8813
DPM2	OMIM:603564	8818
DPM3	OMIM:605951	54344
DPP6	OMIM:126141	1804
DPY19L2	OMIM:613893	283417
DPYD	OMIM:612779	1806
DPYS	OMIM:613326	1807
DRC1	OMIM:615288	92749
DRD2	OMIM:126450	1813
BSG	OMIM:109480	682
ADHD1	OMIM:608903	450087
ADHD3	OMIM:608905	450089
ADHD4	OMIM:608906	450090
ADHD2	OMIM:608904	450088
DRD4	OMIM:126452	1815
DRD5	OMIM:126453	1816
DSC2	OMIM:125645	1824
DSC3	OMIM:600271	1825
DSE	OMIM:605942	29940
DSG1	OMIM:125670	1828
DSG2	OMIM:125671	1829
DSG4	OMIM:607892	147409
DSP	OMIM:125647	1832
DSPP	OMIM:125485	1834
DST	OMIM:113810	667
DSTYK	OMIM:612666	25778
DTNA	OMIM:601239	1837
DUH1	OMIM:127500	387570
DUH2	OMIM:612715	100301525
DUOX2	OMIM:606759	50506
DUOXA2	OMIM:612772	405753
DUP16P11.2	OMIM:614671	100909384
DUP16P13.3	OMIM:613458	100505393
DUP17P13.3	OMIM:613215	100379203
DUP17Q12	OMIM:614526	100884129
DUP17Q21.31	OMIM:613533	100529226
DUP17Q23.1Q23.2	OMIM:613618	100526743
DUP18PDEL18Q	OMIM:609334	100240739
DUP1Q21	OMIM:612475	100217371
DUP22Q11.2	OMIM:608363	100240738
DUP22Q13	OMIM:615538	102503428
DUP2Q31.1	OMIM:613681	100529099
DUP3Q29	OMIM:611936	100188862
DUP5P13	OMIM:613174	100379202
DUP7Q11.23	OMIM:609757	100240730
DUP8Q22.1	OMIM:151200	103171572
DUPC1	OMIM:126900	780895
DUPXP11.23P11.22	OMIM:300801	100310754
DUPXQ27.3Q28	OMIM:300869	100874533
DUPXQ28	OMIM:300815	100415893
DURS1	OMIM:126800	10674
DUSP6	OMIM:602748	1848
DWS	OMIM:220200	1858
DYM	OMIM:607461	54808
DYNC1H1	OMIM:600112	1778
DYNC2H1	OMIM:603297	79659
DYRK1A	OMIM:600855	1859
DYRK1B	OMIM:604556	9149
DYSF	OMIM:603009	8291
DYT13	OMIM:607671	93983
DYT15	OMIM:607488	317714
DYT17	OMIM:612406	100216344
DYT21	OMIM:614588	100885773
DYT7	OMIM:602124	1866
DYX1C1	OMIM:608706	161582
DYX3	OMIM:604254	11192
DYX5	OMIM:606896	171089
DYX6	OMIM:606616	266691
DYX8	OMIM:608995	406874
DYX9	OMIM:300509	474159
EA3	OMIM:606554	780905
EA7	OMIM:611907	100188859
EARS2	OMIM:612799	124454
EBP	OMIM:300205	10682
ECA1	OMIM:600131	50966
ABCB1	OMIM:171050	5243
ECEL1	OMIM:605896	9427
ECM1	OMIM:602201	1893
ECT	OMIM:117100	100379198
ECTD5	OMIM:614927	101101769
ECTD6	OMIM:614928	101101770
ECTD7	OMIM:614929	101101771
ECTD8	OMIM:602401	101101768
EDA	OMIM:300451	1896
EDAR	OMIM:604095	10913
EDARADD	OMIM:606603	128178
EDN1	OMIM:131240	1906
EDNRB	OMIM:131244	1910
EDS8	OMIM:130080	791254
EDSS2	OMIM:613576	100505394
EEC1	OMIM:129900	1913
EEF2	OMIM:130610	1938
EFEMP1	OMIM:601548	2202
EFEMP2	OMIM:604633	30008
EFHC1	OMIM:608815	114327
EFNB1	OMIM:300035	1947
EFTUD2	OMIM:603892	9343
EGF	OMIM:131530	1950
EGFR	OMIM:131550	1956
EGLN1	OMIM:606425	54583
EHBP1	OMIM:609922	23301
EHHADH	OMIM:607037	1962
EHMT1	OMIM:607001	79813
EIF2AK3	OMIM:604032	9451
EIF2AK4	OMIM:609280	440275
EIF2B1	OMIM:606686	1967
EIF2B3	OMIM:606273	8891
EIF2B2	OMIM:606454	8892
EIF2B5	OMIM:603945	8893
EIF2B4	OMIM:606687	8890
EIF4A3	OMIM:608546	9775
EIF4E	OMIM:133440	1977
EIF4G1	OMIM:600495	1981
EIG2	OMIM:606972	353124
EIG3	OMIM:608762	432400
EIG4	OMIM:609750	780913
EIG5	OMIM:611934	100188861
EJM3	OMIM:608816	449018
EJM4	OMIM:611364	100126594
EJM9	OMIM:614280	100750238
EKD2	OMIM:611031	100124415
ELAC2	OMIM:605367	60528
ELANE	OMIM:130130	1991
ELAVL4	OMIM:168360	1996
ELMOD3	OMIM:615427	84173
ELN	OMIM:130160	2006
ELOVL4	OMIM:605512	6785
ELOVL5	OMIM:611805	60481
ELP4	OMIM:606985	26610
EMD	OMIM:300384	2010
EMG1	OMIM:611531	10436
EMP2	OMIM:602334	2013
EMWX	OMIM:300211	10118
ENAM	OMIM:606585	10117
ENDO1	OMIM:131200	100188863
ENFL2	OMIM:603204	50971
ENG	OMIM:131195	2022
ENO1	OMIM:172430	2023
ENO3	OMIM:131370	2027
ENTPD1	OMIM:601752	953
ENUR1	OMIM:600631	2031
ENUR2	OMIM:600808	2032
EOE1	OMIM:610247	100302511
EOE2	OMIM:613412	100499167
EOGT	OMIM:614789	285203
EOS	OMIM:131400	7908
BTD	OMIM:609019	686
EPAS1	OMIM:603349	2034
EPB41	OMIM:130500	2035
EPB41L1	OMIM:602879	2036
EPB42	OMIM:177070	2038
EPCAM	OMIM:185535	4072
EPG5	OMIM:615068	57724
EPHA2	OMIM:176946	1969
EPHB2	OMIM:600997	2048
ABCB7	OMIM:300135	22
EPHX2	OMIM:132811	2053
EPM2A	OMIM:607566	7957
EPO	OMIM:133170	2056
EPOR	OMIM:133171	2057
EPPS	OMIM:607221	266789
EPRPDC	OMIM:608105	574044
EPS8	OMIM:600206	2059
EPX	OMIM:131399	8288
ERBB3	OMIM:190151	2065
ERBB4	OMIM:600543	2066
ERCC1	OMIM:126380	2067
ERCC2	OMIM:126340	2068
ERCC3	OMIM:133510	2071
ERCC4	OMIM:133520	2072
ERCC5	OMIM:133530	2073
ERCC6L2	OMIM:615667	375748
ERCC8	OMIM:609412	1161
ERF	OMIM:611888	2077
ERLIN2	OMIM:611605	11160
ERMAP	OMIM:609017	114625
ERMARD	OMIM:615532	55780
ESCO2	OMIM:609353	157570
ESPN	OMIM:606351	83715
AAT1	OMIM:607086	252842
ESRRB	OMIM:602167	2103
ETFA	OMIM:608053	2108
ETFB	OMIM:130410	2109
ETFDH	OMIM:231675	2110
ETHE1	OMIM:608451	23474
ETL2	OMIM:608096	619399
ETL4	OMIM:611631	100144434
ETL6	OMIM:615697	103106902
ETM2	OMIM:602134	2112
ETM3	OMIM:611456	101027378
CEBPA	OMIM:116897	1050
ETV6	OMIM:600618	2120
EVC	OMIM:604831	2121
EVC2	OMIM:607261	132884
EVR3	OMIM:605750	81864
EWSR1	OMIM:133450	2130
EXOSC3	OMIM:606489	51010
EXOSC8	OMIM:606019	11340
EXPH5	OMIM:612878	23086
EXT1	OMIM:608177	2131
EXT2	OMIM:608210	2132
EXT3	OMIM:600209	2133
EYA1	OMIM:601653	2138
EYA4	OMIM:603550	2070
EYS	OMIM:612424	346007
EZH2	OMIM:601573	2146
F10	OMIM:613872	2159
F11	OMIM:264900	2160
F12	OMIM:610619	2161
F13A1	OMIM:134570	2162
F13B	OMIM:134580	2165
F7	OMIM:613878	2155
F8	OMIM:300841	2157
F9	OMIM:300746	2158
FA2H	OMIM:611026	79152
FAAH	OMIM:602935	2166
FADD	OMIM:602457	8772
FAH	OMIM:613871	2184
FAM111A	OMIM:615292	63901
FAM111B	OMIM:615584	374393
FAM126A	OMIM:610531	84668
FAM134B	OMIM:613114	54463
FAM161A	OMIM:613596	84140
FAM20A	OMIM:611062	54757
FAM20C	OMIM:611061	56975
FAM58A	OMIM:300708	92002
FAM83H	OMIM:611927	286077
FAME3	OMIM:613608	100529229
FAME4	OMIM:615127	101409188
FAN1	OMIM:613534	22909
FANCA	OMIM:607139	2175
FANCB	OMIM:300515	2187
FANCC	OMIM:613899	2176
FANCD2	OMIM:613984	2177
FANCE	OMIM:613976	2178
FANCF	OMIM:613897	2188
FANCG	OMIM:602956	2189
FANCI	OMIM:611360	55215
FANCL	OMIM:608111	55120
FANCM	OMIM:609644	57697
FAR1	OMIM:616107	84188
FARS2	OMIM:611592	10667
FAS	OMIM:134637	355
ERCC6	OMIM:609413	2074
FASLG	OMIM:134638	356
FAT4	OMIM:612411	79633
FBLN1	OMIM:135820	2192
FBLN5	OMIM:604580	10516
FBN1	OMIM:134797	2200
FBN2	OMIM:612570	2201
FBP1	OMIM:611570	2203
FBXL4	OMIM:605654	26235
FBXO31	OMIM:609102	79791
FBXO38	OMIM:608533	81545
FBXO7	OMIM:605648	25793
FCGR1A	OMIM:146760	2209
FCGR2A	OMIM:146790	2212
FCGR2C	OMIM:612169	9103
FCGR3A	OMIM:146740	2214
FCGR3B	OMIM:610665	2215
FCN3	OMIM:604973	8547
FEB1	OMIM:121210	2233
FEB10	OMIM:612637	100271923
FEB2	OMIM:602477	2234
FEB5	OMIM:609255	619398
FEB6	OMIM:609253	619397
FEB7	OMIM:611515	100049160
FEB9	OMIM:611634	100188849
FECD2	OMIM:610158	100188278
FECD3	OMIM:613267	100380873
FECD5	OMIM:613269	100380874
FECD7	OMIM:613271	100380875
FECH	OMIM:612386	2235
FERMT1	OMIM:607900	55612
FERMT3	OMIM:607901	83706
FEZF1	OMIM:613301	389549
FGD1	OMIM:300546	2245
FGD4	OMIM:611104	121512
FGF14	OMIM:601515	2259
FGF16	OMIM:300827	8823
FGF17	OMIM:603725	8822
FGF20	OMIM:605558	26281
FGF3	OMIM:164950	2248
FGF5	OMIM:165190	2250
FGF8	OMIM:600483	2253
FGF9	OMIM:600921	2254
FGFR1OP	OMIM:605392	11116
FGFR4	OMIM:134935	2264
FGA	OMIM:134820	2243
FGB	OMIM:134830	2244
FGG	OMIM:134850	2266
FGQTL1	OMIM:612108	100499165
FGQTL2	OMIM:613219	100379216
FGQTL3	OMIM:613233	100379217
FGQTL4	OMIM:613462	100499169
FGQTL6	OMIM:613460	100499168
FGS3	OMIM:300406	93985
FGS5	OMIM:300581	780900
FH	OMIM:136850	2271
FHII	OMIM:605635	79179
FHL1	OMIM:300163	2273
FIG4	OMIM:609390	9896
FIGLA	OMIM:608697	344018
FIQTL1	OMIM:606035	619503
FKBP10	OMIM:607063	60681
FKBP14	OMIM:614505	55033
FKBP5	OMIM:602623	2289
FKRP	OMIM:606596	79147
FKTN	OMIM:607440	2218
FL1	OMIM:613024	100306940
BRKS1	OMIM:259450	50963
FLG	OMIM:135940	2312
CLMP	OMIM:611693	79827
FLNA	OMIM:300017	2316
FLNB	OMIM:603381	2317
FLNC	OMIM:102565	2318
FLRT3	OMIM:604808	23767
FLVCR1	OMIM:609144	28982
FLVCR2	OMIM:610865	55640
FMO3	OMIM:136132	2328
FMR1	OMIM:309550	2332
FN1	OMIM:135600	2335
FOLR1	OMIM:136430	2348
FOXC1	OMIM:601090	2296
FOXC2	OMIM:602402	2303
FOXD3	OMIM:611539	27022
FOXE1	OMIM:602617	2304
FOXF1	OMIM:601089	2294
FOXG1	OMIM:164874	2290
FOXI1	OMIM:601093	2299
FOXL2	OMIM:605597	668
FOXN1	OMIM:600838	8456
FOXO1	OMIM:136533	2308
FOXP1	OMIM:605515	27086
FOXP2	OMIM:605317	93986
FOXP3	OMIM:300292	50943
FRDA2	OMIM:601992	2420
FREM1	OMIM:608944	158326
FRIASS	OMIM:609640	103344927
FRMD7	OMIM:300628	90167
FRTS1	OMIM:134600	65211
FRZB	OMIM:605083	2487
FSCN2	OMIM:607643	25794
FSHB	OMIM:136530	2488
FSHR	OMIM:136435	2492
FTCD	OMIM:606806	10841
FTH1	OMIM:134770	2495
FTL	OMIM:134790	2512
FTO	OMIM:610966	79068
FTSJ1	OMIM:300499	24140
FUCA1	OMIM:612280	2517
FUS	OMIM:137070	2521
FUT1	OMIM:211100	2523
FUT2	OMIM:182100	2524
FUT3	OMIM:111100	2525
FUT6	OMIM:136836	2528
FWS	OMIM:613606	100529224
FXN	OMIM:606829	2395
FXYD2	OMIM:601814	486
FYCO1	OMIM:607182	79443
FZD4	OMIM:604579	8322
FZD6	OMIM:603409	8323
G6PC	OMIM:613742	2538
G6PC3	OMIM:611045	92579
G6PD	OMIM:305900	2539
GAA	OMIM:606800	2548
GABRA1	OMIM:137160	2554
GABRB3	OMIM:137192	2562
GABRD	OMIM:137163	2563
GABRG2	OMIM:137164	2566
GAD1	OMIM:605363	2571
GALC	OMIM:606890	2581
GALE	OMIM:606953	2582
GALK1	OMIM:604313	2584
GALNS	OMIM:612222	2588
GALNT12	OMIM:610290	79695
FGF23	OMIM:605380	8074
GALNT3	OMIM:601756	2591
GALT	OMIM:606999	2592
GAMT	OMIM:601240	2593
GAN	OMIM:605379	8139
GATA1	OMIM:305371	2623
GATA2	OMIM:137295	2624
GATA3	OMIM:131320	2625
GATAD1	OMIM:614518	57798
GATAD2B	OMIM:614998	57459
GATM	OMIM:602360	2628
GBA	OMIM:606463	2629
GBA2	OMIM:609471	57704
GBD2	OMIM:609918	100048905
GBD3	OMIM:609919	100048906
GBE1	OMIM:607839	2632
GCCD3	OMIM:609197	619477
GCDH	OMIM:608801	2639
GCG	OMIM:138030	2641
GCH1	OMIM:600225	2643
ABCD1	OMIM:300371	215
GCKR	OMIM:600842	2646
AANAT	OMIM:600950	15
AAGAB	OMIM:614888	79719
GCM2	OMIM:603716	9247
GCNT2	OMIM:600429	2651
GDAP1	OMIM:606598	54332
CFH	OMIM:134370	3075
GDF2	OMIM:605120	2658
GDF3	OMIM:606522	9573
BMP2	OMIM:112261	650
BMPR1B	OMIM:603248	658
GDF5	OMIM:601146	8200
GDF6	OMIM:601147	392255
GDI1	OMIM:300104	2664
GDNF	OMIM:600837	2668
GEFSP4	OMIM:609800	100188796
GEFSP6	OMIM:612279	100190787
GEFSP8	OMIM:613828	100653381
GER	OMIM:109350	59330
GEVQ1	OMIM:608875	474334
GEVQ2	OMIM:608878	474333
GFAP	OMIM:137780	2670
GFER	OMIM:600924	2671
GFI1	OMIM:600871	2672
GFI1B	OMIM:604383	8328
GFM1	OMIM:606639	85476
GFND1	OMIM:137950	100689213
GFPT1	OMIM:138292	2673
GGCX	OMIM:137167	2677
GGT1	OMIM:231950	2678
GGT2	OMIM:137181	728441
GHRH	OMIM:139190	2691
GH1	OMIM:139250	2688
GHRHR	OMIM:139191	2692
APOA2	OMIM:107670	336
GHR	OMIM:600946	2690
GHSR	OMIM:601898	2693
GIF	OMIM:609342	2694
GIGYF2	OMIM:612003	26058
GINGF2	OMIM:605544	64644
GINGF3	OMIM:609955	780916
GINGF4	OMIM:611010	100124414
GIPC3	OMIM:608792	126326
GIPR	OMIM:137241	2696
GJA1	OMIM:121014	2697
GJA3	OMIM:121015	2700
GJA5	OMIM:121013	2702
GJA8	OMIM:600897	2703
GJB1	OMIM:304040	2705
GJB2	OMIM:121011	2706
GJB3	OMIM:603324	2707
GJB4	OMIM:605425	127534
GJB6	OMIM:604418	10804
GJC2	OMIM:608803	57165
GK	OMIM:300474	2710
GLA	OMIM:300644	2717
GLB1	OMIM:611458	2720
GLC1B	OMIM:606689	2722
GLC1C	OMIM:601682	2723
GLC1D	OMIM:602429	2724
GLC1H	OMIM:611276	399564
GLC1I	OMIM:609745	497188
GLC1K	OMIM:608696	574077
GLC1M	OMIM:610535	777643
GLC1N	OMIM:611274	777645
GLC1P	OMIM:177700	101448070
GLC3B	OMIM:600975	2728
GLC3C	OMIM:613085	399565
GLCCI1	OMIM:614283	113263
AMT	OMIM:238310	275
GCSH	OMIM:238330	2653
GLDC	OMIM:238300	2731
GLE1	OMIM:603371	2733
GLI2	OMIM:165230	2736
GLI3	OMIM:165240	2737
GLIS2	OMIM:608539	84662
GLIS3	OMIM:610192	169792
GLM4	OMIM:607248	338030
GLM5	OMIM:613030	100415894
GLM6	OMIM:613031	100415895
GLM7	OMIM:613032	101409265
GLM8	OMIM:613033	100316847
GLMN	OMIM:601749	11146
GLRA1	OMIM:138491	2741
GLRB	OMIM:138492	2743
GLRX5	OMIM:609588	51218
GLUD1	OMIM:138130	2746
GLUL	OMIM:138290	2752
GLYCTK	OMIM:610516	132158
GM2A	OMIM:613109	2760
GMPPA	OMIM:615495	29926
GMPPB	OMIM:615320	29925
GNAI2	OMIM:139360	2771
GNAI3	OMIM:139370	2773
GNAL	OMIM:139312	2774
GNAO1	OMIM:139311	2775
GNAQ	OMIM:600998	2776
GNAS	OMIM:139320	2778
GNAT1	OMIM:139330	2779
GNAT2	OMIM:139340	2780
ABCC11	OMIM:607040	85320
GNB4	OMIM:610863	59345
GNE	OMIM:603824	10020
GNMT	OMIM:606628	27232
GNPAT	OMIM:602744	8443
GNPTAB	OMIM:607840	79158
GNPTG	OMIM:607838	84572
GNRH1	OMIM:152760	2796
GNRHR	OMIM:138850	2798
GNS	OMIM:607664	2799
GOPC	OMIM:606845	57120
GORAB	OMIM:607983	92344
GOSR2	OMIM:604027	9570
GOT1	OMIM:138180	2805
